baragouin baragouine
baraqué baraquée
baratin baratine
baratiner baratineuse
baratineur baratineuse
baratiné baratinée
barbant barbante
barbe barbette
barbelé barbelée
barbet barbette
barbiche barbichette
barbot barbote
barboter barboteuse
barbouillé barbouillée
barbu barbue
bardé bardée
bariolé bariolée
barman barmaid
baron baronne
baroudeur baroudeuse
barque barquette
barre barrette
barrer barreuse
barreur barreuse
barricadé barricadée
barré barrée
basané basanée
basculant basculante
basculé basculée
basketteur basketteuse
basse bassesse
basses bassesse
basset bassette
bassin bassine
baston bastonne
bastonné bastonnée
basé basée
batailler batailleuse
batailleur batailleuse
batelier batelière
batracien batracienne
battant battante
batteur batteuse
battu battue
bavard bavarde
bavarois bavaroise
bave bavette
baver baveuse
baveur baveuse
baveux baveuse
bazard bazarde
bazardé bazardée
beau belle
beauceron beauceronne
becquet becquette
becqué becquée
bedon bedonne
bedonnant bedonnante
bellevillois bellevilloise
belligérant belligérante
belliqueux belliqueuse
benjamin benjamine
benoît benoîte
bercer berceuse
berceur berceuse
bercé bercée
berger bergère
berlin berline
berlinois berlinoise
berluré berlurée
bernois bernoise
berné bernée
berrichon berrichonne
besogner besogneuse
besogneux besogneuse
bestial bestiale
beuglant beuglante
beuglé beuglée
beurré beurrée
biais biaise
biaisé biaisée
biberon biberonne
bibi bibite
biche bichette
bichon bichonne
bichonné bichonnée
bicycle bicyclette
bidon bidonne
bidonnant bidonnante
bidonné bidonnée
bidouillé bidouillée
bien-aimé bien-aimée
bien-pensant bien-pensante
bienfaisant bienfaisante
bienfaiteur bienfaitrice
bienheureux bienheureuse
bienséant bienséante
bienveillant bienveillante
bienvenu bienvenue
bifurqué bifurquée
bigarré bigarrée
bigler bigleuse
bigleux bigleuse
biglé biglée
bignon bigne
bigo bigote
bigot bigote
bijoutier bijoutière
bilatéral bilatérale
bilieux bilieuse
bill bille
bimensuel bimensuelle
binoclard binoclarde
biomédical biomédicale
bipé bipée
bique biquette
biquet biquette
birman birmane
bisaïeul bisaïeule
biscornu biscornue
bise bisette
biseauté biseautée
bisexuel bisexuelle
bistro bistrote
bistrot bistrote
bistrotier bistrotière
bistré bistrée
bitumeux bitumeuse
bitumineux bitumineuse
bitumé bitumée
bivouaqué bivouaquée
blafard blafarde
blaguer blagueuse
blagueur blagueuse
blair blaire
blanc blanque
blanchi blanchie
blanchis blanchisse
blanchissant blanchissante
blanchisseur blanchisseuse
blanque blanquette
blasonné blasonnée
blasphémateur blasphématrice
blasé blasée
blessant blessante
blessé blessée
blet blette
bleu bleue
bleue bleuette
bleuet bleuette
bleui bleuie
bleuté bleutée
blindé blindée
bloc bloque
blond blonde
blondi blondie
blondin blondine
blondine blondinette
blondinet blondinette
bloqué bloquée
blotti blottie
blottis blottisse
blousé blousée
blue bluette
bluffé bluffée
blâmé blâmée
blêmissant blêmissante
bobinard bobine
bobine bobinette
bobos bobosse
bodybuilder bodybuildeuse
bohémien bohémienne
bois boise
boisé boisée
boit boite
boiter boiteuse
boiteux boiteuse
bolivien bolivienne
bolognais bolognaise
bombardé bombardée
bombé bombée
bonbon bonbonne
bond bonde
bondis bondisse
bondissant bondissante
bondé bondée
bonifié bonifiée
boniment bonimente
bonis bonisse
bonnard bonne
bonne bonnette
bonnet bonnette
bonni bonnie
bonnis bonnisse
bord borde
bordelais bordelaise
borduré bordurée
bordé bordée
borné bornée
boréal boréale
boss bosse
bosselé bosselée
bosser bosseuse
bosseur bosseuse
bossu bossue
bossué bossuée
bostonien bostonienne
bottin bottine
botté bottée
boucané boucanée
boucher bouchère
bouchon bouchonne
bouchonné bouchonnée
bouché bouchée
boucle bouclette
bouclé bouclée
bouder boudeuse
boudeur boudeuse
boudin boudine
boudiné boudinée
boudé boudée
boueur boueuse
boueux boueuse
bouffant bouffante
bouffer bouffeuse
bouffeur bouffeuse
bouffi bouffie
bouffon bouffonne
bouffonnant bouffonnante
bouffé bouffée
bougnoul bougnoule
bougon bougonne
bougre bougresse
bougres bougresse
bougé bougée
bouillant bouillante
bouilli bouillie
bouillon bouillonne
bouillonnant bouillonnante
bouillonné bouillonnée
boulanger boulangère
boule boulette
boulet boulette
boulevardier boulevardière
bouleversant bouleversante
bouleversé bouleversée
boulon boulonne
boulonné boulonnée
boulot boulotte
bouquetier bouquetière
