Word (M/F)                                 POS            LEMMA                    TAG       DEPENDENCY
compagnon, compagne	                     NOUN	      compagnon	                NOUN	      ROOT
compétiteur, compétitrice	               ADJ	       compétiteur	              ADJ	       ROOT
comploteur, comploteuse	                 NOUN	      comploteur	               NOUN	      ROOT
compositeur, compositrice	               NOUN	      compositeur	              NOUN	      ROOT
con, conne	                              ADP	       con	                      ADP	       ROOT
concepteur, conceptrice	                 NOUN	      concepteur	               NOUN	      ROOT
concitoyen, concitoyenne	                NOUN	      concitoyen	               NOUN	      ROOT
condamné, condamnée	                     VERB	      condamner	                VERB	      ROOT
conducteur, conductrice	                 NOUN	      conducteur	               NOUN	      ROOT
conférencier, conférencière	             VERB	      conférencier	             VERB	      ROOT
confident, confidente	                   ADV	       confident	                ADV	       ROOT
confiseur, confiseuse	                   NOUN	      confiseur	                NOUN	      ROOT
conjoint, conjointe	                     VERB	      conjoindre	               VERB	      ROOT
conseiller, conseillère	                 VERB	      conseiller	               VERB	      ROOT
conservateur, conservatrice	             NOUN	      conservateur	             NOUN	      ROOT
consommateur, consommatrice	             NOUN	      consommateur	             NOUN	      ROOT
constructeur, constructrice	             NOUN	      constructeur	             NOUN	      ROOT
conteur, conteuse	                       NOUN	      conteur	                  NOUN	      ROOT
continental, continentale	               ADJ	       continental	              ADJ	       ROOT
contradicteur, contradictrice	           NOUN	      contradicteur	            NOUN	      ROOT
contrôleur, contrôleuse	                 NOUN	      contrôleur	               NOUN	      ROOT
coopérant, coopérante	                   VERB	      coopérer	                 VERB	      ROOT
copain, copine	                          NOUN	      copain	                   NOUN	      ROOT
cordonnier, cordonnière	                 ADJ	       cordonnier	               ADJ	       ROOT
coréen, coréenne	                        VERB	      coréen	                   VERB	      ROOT
cornichon, cornichonne	                  VERB	      cornichon	                VERB	      ROOT
correspondant, correspondante	           VERB	      correspondre	             VERB	      ROOT
costumier, costumière	                   NOUN	      costumier	                NOUN	      ROOT
couard, couarde	                         NOUN	      couard	                   NOUN	      ROOT
coupeur, coupeuse	                       NOUN	      coupeur	                  NOUN	      ROOT
courageux, courageuse	                   ADJ	       courageux	                ADJ	       ROOT
coureur, coureuse	                       NOUN	      coureur	                  NOUN	      ROOT
coursier, coursière	                     NOUN	      coursier	                 NOUN	      ROOT
cousin, cousine	                         ADV	       cousin	                   ADV	       ROOT
couturier, couturière	                   VERB	      couturier	                VERB	      ROOT
crâneur, crâneuse	                       NOUN	      crâneur	                  NOUN	      ROOT
créancier, créancière	                   VERB	      créancier	                VERB	      ROOT
créateur, créatrice	                     NOUN	      créateur	                 NOUN	      ROOT
crémier, crémière	                       PROPN	     crémier	                  PROPN	     ROOT
