ref_id	neighbours_frequences_m	neighbours_frequences_f	
206	['5552', '226', '4324', '4356', '2325', '3164', '121', '5154', '64', '214']	['1159', '53', '15333', '627', '60', '130', '63', '76', '50', '174']	
207	['84', '790', '55', '2713', '113', '955', '60', '540', '675', '620']	['675', '264', '467', '147', '620', '104', '1121', '2522', '60', '50']	
208	['283', '80', '56', '92', '66', '116', '3813', '95', '66', '137']	['781', '950', '1567', '549', '218', '333', '345', '56', '748', '1299']	
209	['3813', '4958', '1544', '3645', '3750', '12626', '853', '2008', '446', '672']	['3476', '2453', '118', '36350', '2911', '2762', '439', '4338', '755', '190']	
210	['2240', '1857', '252', '665', '708', '127', '73', '3364', '82', '2440']	['2106', '72', '94', '240', '94', '99', '97', '51', '103', '64']	
211	['269', '2826', '783', '249', '100', '313', '89', '13711', '624', '64']	['2826', '141', '356', '71', '2378', '298', '205', '147', '169', '1257']	
212	['11369', '712', '1553', '578', '1490', '2264', '486', '1603', '319', '350']	['4116', '863', '881', '423', '939', '3728', '2705', '3940', '330', '1490']	
213	['4068', '2627', '8692', '6770', '6372', '388', '1876', '1711', '787', '1559']	['1559', '3500', '40672', '863', '107', '210', '1687', '4116', '1287', '208']	
214	['162', '91', '398', '117', '416', '91', '325', '126', '57', '309']	['26744', '6756', '1559', '35506', '3500', '921', '40672', '224', '6308', '58']	
215	['1280', '2959', '434', '6108', '266', '10531', '3801', '218', '3002', '470']	['1280', '76', '521', '1542', '56', '6108', '3801', '3747', '208', '898']	
216	['85474', '1720', '476', '186', '90', '5131', '101', '72', '140', '52']	['75099', '1247', '7444', '462', '125', '7254', '211', '637', '53', '88']	
217	['36838', '9283', '3941', '20814', '27548', '50723', '33640', '20918', '73570', '1870']	['5592', '20814', '332', '73570', '39707', '46283', '202', '138382', '19200', '4939']	
218	['11328', '13495', '51', '3678', '2237', '3365', '544', '2629', '1118', '783']	['106', '156', '88', '871', '1034', '240', '323', '1622', '135', '2453']	
219	['1889', '5923', '3898', '50', '2149', '62', '59', '61', '4362', '191']	['2149', '467', '94', '1677', '14826', '79', '50', '2152', '99', '4262']	
220	['104', '948', '7221', '132', '2389', '271', '7168', '53', '7415', '19620']	['99', '20703', '54', '3173', '1270', '79', '66', '533', '271', '1865']	
221	['6147', '2603', '65', '1619', '1577', '50', '17704', '56', '51', '52']	['52', '474', '524', '299', '380', '122', '940', '249', '183', '237']	
222	['1050', '204', '162', '90582', '160', '706', '550', '2970', '1208', '41572']	['1290', '151', '121', '11695', '718', '8981', '144', '552', '96', '78']	
223	['113', '68', '98', '98', '1005', '383', '137', '60', '60', '133']	['55', '75', '52', '58', '59', '79', '68', '84', '106', '109']	
224	['3871', '11640', '233', '227', '1035', '173', '101', '77', '70', '136']	['113', '15767', '968', '6308', '4381', '1162', '60', '346', '59', '1344']	
225	['3640', '1377', '357', '20735', '56221', '199', '85', '7008', '1395', '78']	['50', '91', '13723', '818', '1159', '15333', '138', '36350', '627', '203']	
226	['476', '331', '539', '872', '401', '531', '447', '817', '52', '779']	['102', '82', '232', '57', '111', '627', '80', '98', '55', '3898']	
227	['1561', '2359', '454', '405', '1857', '234', '165', '213', '147', '120']	['327', '96', '58', '58', '36350', '91', '15333', '70', '203', '94']	
228	['20735', '1624', '72', '3640', '22943', '1729', '3010', '21546', '128', '1626']	['402', '86', '91', '15333', '145', '56', '144', '1159', '59', '88']	
229	['419', '113', '98', '206', '63', '60', '88', '67', '634', '63']	['57', '124', '52', '51', '173', '97', '593', '63', '53', '199']	
230	['6656', '2359', '1561', '2823', '6109', '1622', '319', '2687', '87', '4269']	['52', '106', '1124', '67', '603', '1257', '58', '811', '71', '6109']	
231	['4431', '836', '963', '377', '2621', '1673', '59', '1973', '202', '9124']	['1159', '183', '62', '50', '56', '13723', '818', '603', '15333', '836']	
232	['10437', '707', '123', '839', '1673', '145', '56', '51', '51', '2440']	['11365', '91', '663', '614', '51', '555', '182', '2094', '1200', '972']	
233	['2446', '8581', '7910', '394', '402', '2891', '242', '62', '434', '3388']	['1626', '8581', '1756', '98', '15333', '137', '362', '7910', '334', '327']	
234	['2826', '13711', '411', '2061', '480', '269', '274', '1007', '70', '7486']	['71', '368', '356', '626', '2141', '141', '81', '54', '2826', '63']	
235	['112671', '132', '1644', '5005', '147', '1670', '3534', '11496', '5378', '72']	['8981', '11695', '290', '7085', '15333', '871', '143', '2382', '239', '148']	
236	['390', '363', '1318', '3640', '2440', '87', '233', '165', '403', '357']	['61', '1281', '23785', '182', '106', '389', '2767', '87', '134', '66']	
237	['1268', '3382', '1356', '941', '5448', '260', '66', '696', '789', '198']	['470', '536', '149', '570', '728', '408', '88', '106', '1356', '52']	
238	['63', '89', '205', '83', '71', '117', '94', '61', '159', '521']	['13723', '402', '314', '615', '838', '789', '101', '6075', '33782', '53']	
239	['8581', '62', '1243', '551', '73', '1386', '1756', '1112', '1626', '557']	['210', '1756', '1217', '64', '76', '1363', '394', '132', '96', '63']	
240	['789', '1961', '377', '85', '51', '963', '1193', '803', '234', '185']	['138', '772', '114', '59', '92', '869', '112', '112', '53', '185']	
241	['194', '118', '63', '79', '62', '2013', '76', '65', '136', '82']	['96', '175', '120', '285', '825', '55', '83', '80', '60', '120']	
242	['100', '241', '1006', '2826', '141', '419', '57', '411', '269', '4249']	['555', '356', '142', '2826', '71', '110', '205', '1257', '76', '2141']	
243	['2350', '11328', '2193', '1569', '4423', '2911', '2629', '2186', '3813', '908']	['1308', '1251', '2453', '185', '190', '3933', '3476', '11328', '552', '1152']	
244	['1990', '3364', '22363', '539', '11476', '885', '1673', '213', '309', '589']	['2440', '250', '58', '36350', '62', '50', '1159', '603', '811', '327']	
245	['461', '711', '1579', '1012', '69', '261', '17704', '11328', '1216', '82']	['1497', '171', '55', '3726', '240', '2453', '195', '1857', '88', '59']	
246	['2912', '784', '1741', '1060', '98', '1706', '2186', '747', '6720', '1824']	['78', '54', '63', '59', '71', '58', '86', '63', '90', '58']	
247	['931', '632', '464', '392', '6814', '687', '712', '599', '1015', '486']	['3728', '2705', '1190', '1287', '28618', '1687', '863', '3500', '1559', '640']	
248	['2912', '1121', '1693', '784', '1671', '628', '98', '1901', '449', '543']	['1439', '53', '660', '103', '53', '187', '96', '60', '66', '326']	
249	['1644', '72', '11496', '271', '1326', '520', '3534', '1670', '7085', '352']	['119', '8981', '5160', '871', '144', '349', '718', '864', '164', '2365']	
250	['1107', '644', '418', '1050', '22943', '936', '181', '5781', '249', '3640']	['60', '360', '50', '63', '3476', '65', '59', '57', '64', '2453']	
251	['6405', '952', '1037', '84', '111', '11456', '896', '557', '82', '768']	['13723', '3273', '318', '15333', '661', '147', '2382', '496', '4055', '924']	
252	['1062', '17319', '982', '14031', '3534', '900', '535', '978', '7701', '202']	['9945', '312', '11695', '8981', '157', '239', '543', '123', '7141', '67']	
253	['551', '54', '529', '798', '3364', '670', '5219', '83', '552', '831']	['350', '210', '61', '94', '111', '90', '76', '67', '239', '56']	
254	['1549', '305', '1441', '2171', '481', '123', '2892', '12148', '888', '5909']	['421', '2453', '1034', '60', '3324', '598', '1354', '50', '93', '1308']	
255	['265', '3451', '1431', '2133', '796', '3864', '78', '1808', '61177', '94']	['21847', '94', '188', '52', '265', '89', '2133', '90', '115', '177']	
256	['11141', '144', '817', '61', '1310', '1518', '53', '2066', '967', '1624']	['7108', '460', '1165', '979', '1679', '445', '1283', '1383', '2533', '1451']	
257	['10047', '1050', '7796', '1339', '53', '125', '2058', '63', '4674', '105']	['523', '4787', '562', '112', '108', '24428', '2635', '581', '10047', '331']	
258	['468', '177', '1695', '3018', '61', '489', '152', '736', '81', '6656']	['53', '715', '892', '5084', '63', '103', '354', '59', '124', '3018']	
259	['8089', '910', '2904', '8706', '1809', '2603', '2243', '98', '22943', '51']	['13723', '105', '76', '3476', '402', '15333', '160', '116', '7159', '66']	
260	['537', '124', '150', '243', '5781', '434', '82', '80', '73', '84']	['5781', '5662', '2106', '1915', '2938', '3004', '383', '195', '60', '457']	
261	['298', '88', '146', '79', '257', '55', '55', '133', '2193', '55']	['105', '145', '57', '71', '176', '158', '254', '298', '254', '1008']	
262	['19648', '1121', '4161', '822', '3235', '1826', '368', '2039', '1118', '17324']	['1198', '2072', '35506', '2533', '441', '6756', '2453', '179', '1497', '28618']	
263	['51', '186', '622', '779', '2303', '74', '68', '3819', '64', '903']	['831', '191', '62', '176', '134', '50', '175', '1824', '191', '85']	
264	['10830', '1354', '45864', '3750', '6072', '4049', '288', '6384', '2972', '118']	['2453', '10830', '3324', '1251', '5909', '329', '1354', '3476', '288', '3898']	
265	['446', '4399', '90582', '61728', '111', '5160', '32967', '5085', '7113', '1352']	['5092', '5160', '371', '8981', '92', '4399', '114', '111', '167', '90582']	
266	['928', '8361', '1532', '144', '3004', '1339', '1094', '5781', '752', '4287']	['15333', '94', '105', '92', '57', '128', '87', '5781', '164', '79']	
267	['2904', '1240', '3815', '5675', '1503', '2895', '2243', '7382', '107', '366']	['64', '89', '118', '85', '81', '50', '53', '76', '50', '188']	
268	['1854', '58', '86', '81', '72', '98', '92', '100', '55', '325']	['254', '50', '69', '130', '110', '53', '80', '67', '71', '55']	
269	['3534', '30555', '14201', '72', '871', '6406', '11496', '7560', '112671', '4673']	['11695', '3872', '239', '30555', '8981', '718', '290', '144', '2365', '2048']	
270	['500', '3916', '5385', '6383', '3031', '328', '3680', '1645', '318', '2473']	['1645', '6383', '109', '51', '1690', '500', '82', '150', '14793', '3916']	
271	['2008', '1820', '1404', '97', '318', '95', '209', '195', '383', '547']	['143', '2008', '3431', '1497', '2378', '240', '706', '94', '2048', '248']	
